HAVE_MILITARY_SCORE_LESS_THAN;Очки военной мощи меньше ;X
STRATA_NEED_LESS_THAN;Нужды удовлетворены менее чем на;X
STRATA_NEED_MORE_THAN;Нужды удовлетворены как минимум на;X
HAVE_LESS_POPS_WANTING_POLITICAL_REFORM_THAN;Меньше $VAL$ населения желает политических реформ;X
HAVE_MORE_POPS_WANTING_POLITICAL_REFORM_THAN;Как минимум $VAL$ населения желает политических реформ;X
HAVE_LESS_POPS_WANTING_SOCIAL_REFORM_THAN;Меньше $VAL$ населения желает социальных реформ;X
HAVE_MORE_POPS_WANTING_SOCIAL_REFORM_THAN;Как минимум $VAL$ населения желает социальных реформ;X
USA_proletarian_dictatorship;ССША;X
CSA_proletarian_dictatorship;СКША;X
USA_presidential_dictatorship;США;X
CSA_presidential_dictatorship;КША;X
USA_bourgeois_dictatorship;США;X
CSA_bourgeois_dictatorship;КША;X
USA_fascist_dictatorship;США;X
CSA_fascist_dictatorship;КША;X
USA_prussian_constitutionalism;СКСА;X
CSA_prussian_constitutionalism;НКСА;X
USA_democracy;США;X
CSA_democracy;КША;X
CAL_absolute_monarchy;Королевство Калифорния;X
CAL_hms_government;Королевство Калифорния;X
USA_absolute_monarchy;СКСА;X
USA_hms_government;НКСА;X
DOM_absolute_monarchy;Санто-Доминго;X
DOM_hms_government;Санто-Доминго;X
ENG_democracy;Британская федерация;X
TECH_DAILY_LEADERSHIP_BASE_TOOLTIP;Базовое число очков лидерства в месяц: §Y$VALUE$§W;X
TECH_DAILY_LEADERSHIP_TOTAL_TOOLTIP;Ежемесячное число очков лидерства: §G+$VALUE$§W;X
TECH_DAILY_LEADERSHIP_TOOLTIP;$POPTYPE$ обеспечивают нам §G$VALUE$§W очков лидерства\n(они составляют §Y$FRACTION$%§W населения при оптимальных $OPTIMAL$%).;X
MODIFIER_CORE_POP_MILITANCY_MODIFIER;Агрессивность в неколониальных регионах;X
MODIFIER_CORE_POP_CONSCIOUSNESS_MODIFIER;Сознательность в неколониальных регионах;X
MODIFIER_NON_ACCEPTED_POP_MILITANCY_MODIFIER;Агрессивность непризнанных культур;X
MODIFIER_NON_ACCEPTED_POP_CONSCIOUSNESS_MODIFIER;Сознательность непризнанных культур;X
AUS_734;Южный Тироль;X
EVTNAME23212;Наблюдение кометы;X
EVTDESC23212;Недавно в нашем небе была зафиксирована комета. Некоторые уверены, что это предвестник будущего упадка. Другие верят, что это просто феи летят по небу. Третьи же полагают, что комета - это гигантский шар изо льда, летающий в космосе, а ее длинный хвост создается благодаря энергии солнца. Споры вокруг этих трех одинаково жизнеспособных теорий стимулируют научные поиски в нашей стране.;X
EVTOPTA23212;Слава богу, мы живем в просвещенное время;X
EVTNAME60140;Конституционный конвент;X
EVTDESC60140;Власть в нашей стране полностью находится в руках либералов, и они полагают, что пришла пора для созыва конституционного конвента. Точка зрения каждого человека, ну, или, по крайней мере, всех, чье мнение действительно является важным, будет представлена в этом новом собрании, призванным определить дальнейший путь нашей славной державы.;X
EVTOPTA60140;Иначе люди воспользуются ситуацией в своих целях;X
become_guatemala_title;Провозглашение Гватемалы;X
BUDGET_STOCKPILE_YESTERDAYS;Приобретенные за прошедший день товары:;X
become_guatemala_desc;Мечта об объединенном центрально-американском государстве канула в лету. Другие провинции были слишком озабочены доминирующим положением Гватемалы, чтобы оценить те жертве, которые мы приносили ради сохранения союза. Больше такого не будет. Мы покончили с этим. Отныне Гватемала будет одна искать свою судьбу.;X
MOR_1683;Таза;X
LAG_PAUSE;Игрок $PLAYER$ отстает, и нажимает на паузу.;X
LAG_DECREASE_SPEED;Игрок $PLAYER$ отстает, и уменьшает скорость.;X
PAUSED_BY;Пауза нажата игроком §Y$PLAYER$§W.;X
WARGOAL_OTHER_ACCEPT_SETUP;Одна держава расширяет свою войну против другой;X
WARGOAL_THEY_ACCEPT_SETUP;Мы расширяем свою войну против другой державы;X
WARGOAL_WE_ACCEPT_SETUP;Другая держава расширяет свою войну против нас;X
status_quo_setup;Мы требуем лишь оставить нас в покое.;X
PROV3041;Аргентинское поднятие;X
TUR_819;Западная Македония;X
TUR_806;Северная Македония;X
GUNBOAT_OTHER_ACCEPT_LOG;Держава $ACTOR$ силой заставила державу $RECIPIENT$ выплачивать свой долг.;X
GUNBOAT_THEY_ACCEPT_LOG;Мы силой заставили державу $RECIPIENT$ выплачивать нам долг.;X
GUNBOAT_WE_ACCEPT_LOG;Мы приняли требование о выплате долга со стороны державы $ACTOR$.;X
ENL;Англия;X
TNT;Tува;X
BLR;Беларусь;X
KRL;Карелия;X
KOZ;Казакия;X
CAU;Кавказ;X
KUR;Курдистан;X
SYR;Сирия;X
ENL_ADJ;Английск.;X
TNT_ADJ;Тувинск.;X
BLR_ADJ;Беларуск.;X
KRL_ADJ;Карельск.;X
KOZ_ADJ;Козацк.;X
CAU_ADJ;Кавказск.;X
KUR_ADJ;Курдск.;X
ITL_ADJ;Булгарск.;X
SYR_ADJ;Сирийск.;X
BLR_conservative;Христианско-консервативная партия;X
BLR_liberal;Народный фронт;X
BLR_reactionary;Правый блок;X
BLR_anarcho_liberal;Революционное действие;X
BLR_socialist;Грамада;X
BLR_communist;Коммунистическая партия;X
BLR_fascist;Национал-социалистическая партия;X
KRL_conservative;Pro Karelia;X
KRL_liberal;Национал-демократический альянс;X
KRL_reactionary;Партия свободы;X
KRL_anarcho_liberal;Северное братство;X
KRL_socialist;Левый фронт;X
KRL_communist;Новая коммунистическая партия;X
KRL_fascist;Национал-синдикалистская партия;X
CAU_conservative;Юнионистская партия;X
CAU_liberal;Демократическая партия;X
CAU_reactionary;Партия хранителей мира;X
CAU_anarcho_liberal;Партия свободы;X
CAU_socialist;Партия справедливости;X
CAU_communist;Коммунистическая партия;X
CAU_fascist;Имарат Кавказ;X
KUR_conservative;Демократическая партия;X
KUR_liberal;Партия демократического общества;X
KUR_reactionary;Традиционалистская партия;X
KUR_anarcho_liberal;Национал-радикальная партия;X
KUR_socialist;Конгресс свободы и демократии;X
KUR_communist;Курдская рабочая партия;X
KUR_fascist;Национал-синдикалистская рабочая партия;X
SYR_conservative;Арабский демократический союз;X
SYR_liberal;Национальный прогрессивный фронт;X
SYR_reactionary;Исламская умеренная партия;X
SYR_anarcho_liberal;Арабская республиканская партия;X
SYR_socialist;БААС;X
SYR_communist;Коммунистическая партия;X
SYR_fascist;Социальная националистическая партия;X
